S_su,S_aa,S_fa,S_va,S_bu,S_pro,S_ac,S_h2,S_ch4,S_IC,S_IN,S_I,X_xc,X_ch,X_pr,X_li,X_su,X_aa,X_fa,X_c4,X_pro,X_ac,X_h2,X_I,S_cation,S_anion,pH,S_va_ion,S_bu_ion,S_pro_ion,S_ac_ion,S_hco3_ion,S_co2,S_nh3,S_nh4_ion,S_gas_h2,S_gas_ch4,S_gas_co2
0.012394,0.0055432,0.10741,0.012333,0.014003,0.017584,0.089315,2.51e-07,0.05549,0.095149,0.094468,0.13087,0.10792,0.020517,0.08422,0.043629,0.31222,0.93167,0.33839,0.33577,0.10112,0.67724,0.28484,17.2162,1.08e-47,0.0052101,7.262807357295263,0.012284,0.013953,0.017511,0.089035,0.08568,0.14,0.001884,0.0041,1.1e-05,1.6535,0.01354
0.012396465891245574,0.005552630663839957,0.10741211012384318,0.012333994854496252,0.014004286016773034,0.017584474239864933,0.08931656025775227,2.506182377957684e-07,0.05549292224846848,0.09514885192704355,0.09446797305084036,0.1308701423415554,0.10792000249315557,0.0205623137705743,0.08455494217029336,0.04366519009104945,0.3122200076323624,0.9316703930335125,0.3383899849776882,0.33576999753766623,0.10111999175902919,0.6772399981709994,0.28484037316169886,17.217796028224807,1.0794096442782659e-47,0.005210103768891451,7.263099765384165,0.012285433507985718,0.013953982493018876,0.017511991305374352,0.08903700300253649,0.08567974901660148,0.009469102910442062,0.0018839566329748516,0.09258401641786551,1.1021609333262856e-05,1.6535183173897794,0.013539890588938848
0.012407624614816615,0.005568904099943114,0.10742700283393651,0.01233925337189698,0.014010409423025852,0.017586214869081324,0.08932730254189818,2.5077462398717275e-07,0.05549160944482882,0.09514882432963448,0.09446808985710886,0.13087042156378959,0.10792000528851123,0.02069095188675084,0.08480630791759401,0.043894689820653976,0.3122201292475584,0.9316725808209906,0.33839000155385474,0.3357700639013528,0.10111999505832898,0.6772400283258029,0.2848404299482418,17.219579954384336,1.0788196112601228e-47,0.005210113848540497,7.263094875293569,0.01229067077670217,0.01396008333931643,0.01751372394687822,0.08904770852545721,0.08567962815561597,0.009469196174018507,0.0018839381725460438,0.09258415168456281,1.102715383376106e-05,1.6535105493158366,0.013540338221278867
0.012433357948945895,0.005583029262433682,0.10747040874209093,0.012348592202456009,0.014021328450290787,0.017590208274968856,0.08934882598991846,2.509896736951625e-07,0.055492635399569924,0.09514892024375582,0.09446835282009541,0.1308708219985732,0.10792000885519482,0.020876377038934676,0.0849982601815063,0.04425471515854066,0.3122205872312722,0.9316766907091565,0.33839006330248395,0.3357702713838847,0.10112000558262657,0.6772401187290688,0.2848406163412381,17.221571067716955,1.0782299007691726e-47,0.005210131448917496,7.263081078557219,0.012299971299556794,0.013970961550602793,0.01751769859785324,0.08906915574852292,0.08567944363890212,0.0094694766048537,0.0018838847616803973,0.09258446805841501,1.1033211412982936e-05,1.6535054422307065,0.013540342565559485
0.012476109658493538,0.005594325646025571,0.10755191051728621,0.01236065265698223,0.014035706234904237,0.017597005620357528,0.08938118329727074,2.512674655702325e-07,0.05549489148544603,0.09514902285220603,0.09446872913333224,0.13087132708822571,0.10792001375704921,0.021098892410313406,0.08515225950802392,0.04469939747645109,0.3122216789500535,0.9316823796562926,0.33839023054906064,0.33577068670503013,0.10112003149902221,0.677240312888206,0.28484098094987814,17.223770345453026,1.0776405126291135e-47,0.005210157099998093,7.263061790702772,0.012311982114689141,0.013985285456677394,0.017524464715157517,0.08910139938788184,0.08567915732567738,0.009469865526528648,0.0018838102690607679,0.09258491886427146,1.1040541002029582e-05,1.6535132137063768,0.013541034060382836
0.012536091630116227,0.005603624695079734,0.10767692152814301,0.012374368499303602,0.01405252384607295,0.01760709314008679,0.08942469985652685,2.516145099622654e-07,0.055498190254176,0.09514919264307165,0.09446918992889419,0.1308719210446029,0.10792002059590806,0.02134371002992527,0.08528483216126566,0.04519480905209271,0.3122237247661512,0.9316893427403798,0.3383905772066698,0.33577135443313144,0.10112008279188228,0.677240652918495,0.2848415757548713,17.226167976524536,1.0770514466637405e-47,0.005210191136112259,7.263033621659822,0.012325640802346742,0.014002039390934622,0.017534505962102126,0.08914476163035492,0.08567875710401267,0.009470435539058977,0.0018836997105351177,0.09258549021835907,1.104962081032514e-05,1.6535262072591286,0.013541592856316334
0.012612040591865758,0.005611846008215337,0.10784767552134786,0.012389108949175021,0.014071205726786707,0.017620891039800565,0.08948008057475675,2.520339311930528e-07,0.0555025081027047,0.09514938388857724,0.09446971616283373,0.13087258582528327,0.1079200300309153,0.02159832621740729,0.0854086141046269,0.0457128078800776,0.312227034275204,0.9316973895675602,0.3383911838136332,0.33577230435240973,0.1011201709836979,0.6772411847962835,0.2848424581199802,17.228741706520143,1.0764627026969442e-47,0.005210234143997402,7.262997150356606,0.012340319126403702,0.014020649925818232,0.017548240902830584,0.08919994553220652,0.08567821313724225,0.009471170751334995,0.0018835551733566343,0.0925861609894771,1.1060888362448688e-05,1.653544843159604,0.013542465048966085
0.012701586593843624,0.005619919043705425,0.10806358455099309,0.01240461239666155,0.014091528460587163,0.017638732529689782,0.0895483372265321,2.5252569662085477e-07,0.05550785340286673,0.09514960497090187,0.09447029770357256,0.13087329968918157,0.10792004279747616,0.02185027703811001,0.08553862817429517,0.04622494934193918,0.3122318828452526,0.9317064426181998,0.3383921321141753,0.33577355871795816,0.1011203089133868,0.6772419572814309,0.28484368798231774,17.23147484979585,1.0758742805527124e-47,0.005210287037182123,7.262950935896271,0.01235575634126562,0.014040894274506754,0.01756600112583658,0.08926795875222082,0.08567750464084503,0.00947210033005684,0.001883370339104766,0.09258692736446779,1.1074640415063707e-05,1.6535671888453756,0.01354353052654789
0.012801513023737731,0.005628816019379262,0.10832144778493184,0.012420948684245226,0.01411357224334538,0.017660858042264044,0.089630702334395,2.530873587289173e-07,0.05551423994481508,0.09514984926240128,0.09447093431441098,0.13087404041923786,0.10792005972190745,0.022088383702895627,0.08568963946647182,0.046705534482090576,0.3122384933657924,0.9317165437563152,0.3383935000317163,0.3357751383585747,0.10112051045943306,0.6772430239677842,0.2848453252333067,17.23435473482493,1.0752861800551283e-47,0.00521035081061426,7.262894250865372,0.012372021927279328,0.014062852252891132,0.017588025939871365,0.08935002945558136,0.08567661130864448,0.009473237953756791,0.0018831421233797435,0.09258779219103123,1.1091049649615327e-05,1.6535925666374403,0.013544866941904545
0.012908085957898118,0.005639454735806195,0.10861589915694117,0.01243846802298788,0.014137665134154126,0.017687416391077206,0.08972856541412824,2.537143061498853e-07,0.055521674254062084,0.09515011795757558,0.09447163585717923,0.13087478812040576,0.10792008173352195,0.022303667159626315,0.0858747248093803,0.04713361942568093,0.3122470235909466,0.9317278534553022,0.3383953572651489,0.33577706794376466,0.10112079024164075,0.6772444435108017,0.2848474277158662,17.237376841630947,1.0746984010283717e-47,0.0052104261757251295,7.26282631071627,0.012389464621244895,0.01408685064087045,0.017614463399308628,0.08944754226166773,0.08567551873786881,0.009474599219706767,0.0018828674045501767,0.09258876845262905,1.111016518757417e-05,1.653619982371486,0.013546492305467398
0.013017425173590355,0.0056525572659737264,0.10894004062072506,0.012457721990614642,0.014164302771503505,0.017718468647627144,0.08984336632715545,2.5439987448365165e-07,0.05553014578148141,0.09515040394580958,0.09447242146242915,0.13087552738235622,0.10792010987291839,0.0224902851103613,0.08610252539366378,0.04749510856153668,0.31225756001908916,0.9317406358470169,0.33839776191817383,0.3357793800620018,0.10112116332869768,0.6772462799907011,0.2848500494312279,17.24054831933364,1.0741109432967185e-47,0.005210512981363158,7.262746976243355,0.012408633803671626,0.014113383268123853,0.01764537428246465,0.08956193238175134,0.08567421770512466,0.009476186240684914,0.0018825459923208253,0.09258987547010833,1.113193145112637e-05,1.6536492122761304,0.013548681835843034
