state,Matlab,Python,error
S_su,0.012644598254072936,0.012425964565495976,0.00021863368857696035
S_aa,0.00563843988051752,0.0055332134280173025,0.00010522645250021778
S_fa,0.11197417562395555,0.10949534277036767,0.002478832853587879
S_va,0.012609959637288148,0.012324771428624893,0.00028518820866325624
S_bu,0.014308607103772096,0.014017528811336234,0.0002910782924358614
S_pro,0.01815239057525633,0.017699569561187064,0.00045282101406926806
S_ac,0.09296660756330795,0.0909522157228554,0.0020143918404525404
S_h2,2.5517425595238093e-07,2.5064385636133836e-07,4.530399591042532e-09
S_ch4,0.05559646874476148,0.05554977599275362,4.669275200786289e-05
S_IC,0.09486565803909837,0.09521150109183847,0.00034584305274010875
S_IN,0.09428208478542356,0.09459865820660025,0.0003165734211766897
S_I,0.12715157027971033,0.1321400531013766,0.004988482821666272
X_xc,0.10735129542553963,0.10899019959728351,0.0016389041717438854
X_ch,0.020544422356177375,0.02102748774041642,0.00048306538423904376
X_pr,0.08571824063976843,0.0842337680588543,0.0014844725809141249
X_li,0.04356977459814423,0.04455889718713799,0.0009891225889937707
X_su,0.308686347253763,0.3200040319439015,0.011317684690138512
X_aa,0.93466611401797,0.9335889765202686,0.0010771374977013336
X_fa,0.33315667535305504,0.3452900531985892,0.012133377845534098
X_c4,0.33650399530538727,0.33696666129875263,0.00046266599336536475
X_pro,0.10098187163596639,0.10202101591023606,0.0010391442742696735
X_ac,0.6744499132540592,0.6840966220756809,0.009646708821621632
X_h2,0.2831558486270022,0.2884347050926489,0.005278856465646698
X_I,16.733926458508513,17.600184236985523,0.8662577784770097
S_cation,1.2869412251436012e-29,7.348277955097683e-49,1.2869412251436012e-29
S_anion,0.005238900010074363,0.0052612780309056134,2.2378020831250893e-05
pH,7.261406518994833,7.262472913800066,0.0010663948052321561
S_va_ion,0.012559844814910794,0.012276017953425597,0.0002838268614851956
S_bu_ion,0.014256730232831739,0.01396693400415127,0.0002897962286804675
S_pro_ion,0.018076640173438026,0.01762620935305704,0.00045043082038098703
S_ac_ion,0.09267340042276775,0.09066652890227227,0.0020068715204954756
S_hco3_ion,0.08540294541073096,0.08572892369344377,0.00032597828271282276
S_co2,0.009462712628367417,0.009485005430388695,2.2292802021277908e-05
S_nh3,0.001881005766694885,0.0018877763822481809,6.770615553296024e-06
S_nh4_ion,0.0924010790187287,0.09270923591661394,0.0003081568978852494
S_gas_h2,1.1176154947916668e-05,1.097652243839666e-05,1.996325095200079e-07
S_gas_ch4,1.6551068908931927,1.653441276525691,0.001665614367501738
S_gas_co2,0.013530575890469116,0.013558825741392767,2.8249850923649827e-05
time,140.0,140.0,0.0
Q,183.5063262539061,183.5063262539061,0.0
